,Total:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,,Male:,,,,,,,,,,,,,,,,,,Female:,,,,,,,,,,,,,,,,,
,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,
Label,,,,,,,,,,,,,,,,,,,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other
California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"91,385",,"123,896","99,250","110,041","76,140","91,833","137,141","77,457","94,520","90,489","70,393",,"80,008","77,217","67,412","82,002","75,539","103,538",,"133,813","110,596","124,018","82,781","104,012","142,235","94,031","101,651","100,838","77,116",,"91,549","87,148","71,319","87,630","91,542","80,150",,"103,226","88,951","90,658","73,337","80,159","115,969","74,757","91,533","80,692","66,891",,"72,314","71,401","63,793","80,005","66,273"
Margin of Error,±416,,"±2,370","±2,883","±5,241","±1,668","±1,330","±3,396","±6,261","±3,120","±1,025","±2,317",,"±3,065","±1,956","±2,374","±1,627","±1,500",±754,,"±3,933","±6,095","±3,951","±4,871","±2,168","±1,904","±7,528","±1,390",±661,"±5,546",,"±2,932","±4,102","±2,381","±5,979","±2,694",±404,,"±2,287","±3,898","±4,630","±2,739","±2,176","±7,349","±4,602","±1,240",±845,"±2,248",,"±2,699","±1,682","±3,935","±3,853","±1,718"
Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"80,890",,"107,626","77,109","87,311","69,406","82,596","116,138","62,888","80,475","94,322","57,194",,"66,659","74,053","55,279","75,140","68,225","99,015",,"120,171","84,186","101,463","82,308","100,587","119,684","79,634","92,335","104,610","70,885",,"79,264","77,201","61,663","79,736","84,050","68,120",,"91,575","70,177","70,298","65,670","70,633","99,438","59,662","75,583","80,456","55,203",,"61,292","70,070","51,894","71,529","56,524"
Margin of Error,±608,,"±6,264","±4,030","±5,510","±3,562","±3,300","±5,220","±12,496","±2,049","±2,828","±2,648",,"±4,254","±2,882","±3,105","±4,447","±4,140","±2,482",,"±6,595","±4,936","±3,162","±10,288","±3,344","±3,052","±22,279","±5,806","±2,706","±8,565",,"±5,932","±9,044","±6,308","±5,964","±7,019","±1,451",,"±2,041","±2,856","±9,746","±3,499","±6,874","±8,635","±9,926","±2,877","±2,455","±2,535",,"±3,796","±9,247","±2,833","±5,200","±3,002"
Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"84,847",,"102,414","78,399","82,106","75,024","92,995","113,125","80,812","83,715","93,112","72,748",,"73,738","85,488","63,071","76,556","71,693","101,619",,"110,270","80,387","97,500","79,324","113,659","120,825","100,199","100,010","108,794","87,360",,"95,820","103,438","70,524","82,059","81,149","74,340",,"88,061","76,274","71,465","72,013","76,654","91,257","80,677","80,156","80,322","71,692",,"68,813","69,953","60,218","69,738","65,888"
Margin of Error,"±1,553",,"±8,413","±4,901","±10,959","±3,652","±8,784","±6,739","±21,833","±4,689","±4,129","±4,040",,"±6,292","±7,609","±4,765","±6,890","±5,251",±755,,"±11,821","±7,371","±14,842","±12,726","±24,237","±6,159","±75,011","±9,473","±11,157","±12,179",,"±19,368","±12,172","±7,525","±19,685","±2,957","±1,850",,"±8,883","±5,883","±9,506","±5,030","±7,973","±18,263","±27,085","±4,571","±3,027","±2,887",,"±4,663","±8,043","±7,307","±9,070","±3,786"
Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
